Rank  ;  Name   ; State  ; Tuition (in-state for public schools in$) ; Total Student Population
1;  University of California, Los Angeles ; CA ;12763;41908
2;  University of California, Berkeley ; CA ;13431;38189
3;  Brigham Young University   ; UT ;5150;33469
4;  University of California, Irvine   ; CA ;13252;30836
5;  University of Washington, Seattle  ; WA ;11839;45408
6;  Harvard University ; MA ;45278;29652
7;  Stanford University; CA ;46320;1698
8;  Princeton University   ; NJ ;43450;8138
9;  University of California, San Diego; CA ;13530;32906
10; Amherst College; MA ;50562;1795
11; University of California, Santa Barbara; CA ;13968;23497
12; CUNY, Baruch College   ; NY ;6810;18433
13; University of California, Davis; CA ;13951;35186
14; Yale University; CT ;47600;12385
15; Williams College   ; MA ;50070;2171
16; Pomona College ; CA ;47620;1663
17; Massachusetts Institute of Technology  ; MA ;46704;11331
18; Duke University; NC ;49241;15984
19; University of North Carolina, Chapel Hill  ; NC ;8591;29084
20; University of Florida  ; FL ;6381;50645
21; University of Virginia ; VA ;15192;23883
22; Dartmouth College  ; NH ;49506;635
23; Swarthmore College ; PA ;47442;1581
24; Georgia Institute of Technology; GA ;12204;25034
25; Rice University; TX ;42253;6719
26; Haverford College  ; PA ;49098;1233
27; Columbia University; NY ;53000;28086
28; University of Pennsylvania ; PA ;49536;24876
29; Texas A&M University, College Station  ; TX ;10176;63813
30; University of Maryland, College Park   ; MD ;9996;3814
31; Vanderbilt University  ; TN ;44712;12567
32; Brown University   ; RI ;49346;9458
33; Wesleyan University; CT ;49274;3138
34; University of Michigan, Ann Arbor  ; MI ;13856;43651
35; University of Washington Bothell   ; WA ;11758;5277
36; Wellesley College  ; MA ;46836;251
37; Colgate University ; NY ;49970;2861
38; Middlebury College ; VT ;47828;2558
39; College of William & Mary  ; VA ;19372;8484
40; California Institute of Technology ; CA ;45390;2255
41; Stony Brook University, SUNY   ; NY ;8855;25272
42; Purdue University  ; IN ;10002;40472
43; University of Illinois, Urbana-Champaign   ; IL ;15054;45842
44; University of Texas, Austin; TX ;9806;5095
45; San Diego State University ; CA ;6976;34254
46; University of Utah ; UT ;8197;31592
47; Bowdoin College; ME ;48212;1799
48; Washington and Lee University  ; VA ;46417;2172
49; Bates College  ; ME ;48435;1792
50; Georgetown University  ; DC ;48611;18459
51; CUNY, Queens College   ; NY ;6938;1952
52; Binghamton University, SUNY; NY ;9053;16913
53; California State University, Long Beach; CA ;6452;37446
54; University of Georgia  ; GA ;11622;3613
55; San Jose State University  ; CA ;7378;32773
56; Emory University   ; GA ;46314;13788
57; Vassar College ; NY ;51250;2435
58; Colby College  ; ME ;49120;1857
58; Cornell University ; NY ;49116;21904
60; Claremont McKenna College  ; CA ;49045;1349
61; University of Texas, Dallas; TX ;10864;24554
62; North Carolina State University, Raleigh   ; NC ;8581;34015
63; Trinity College (CT)   ; CT ;50776;2397
64; University of California, Riverside; CA ;13527;21385
65; California Polytechnic State University, San Luis Obispo   ; CA ;9001;20944
66; California State Polytechnic University, Pomona; CA ;7016;23717
67; Barnard College; NY ;47631;2548
68; California State University, Fullerton ; CA ;6437;38948
69; Davidson College   ; NC ;46966;1784
70; CUNY, Brooklyn College ; NY ;6838;1741
71; Hamilton College   ; NY ;49500;1877
72; University of Illinois, Chicago; IL ;13664;29048
73; University of Wisconsin, Madison   ; WI ;10415;42716
74; Tufts University   ; MA ;50604;11137
74; University of Chicago  ; IL ;51351;15391
76; New Mexico Institute of Mining and Technology  ; NM ;6613;215
77; University of California, Santa Cruz   ; CA ;13461;17868
78; Cooper Union   ; NY ;42650;972
79; Washington University in St. Louis ; MO ;48093;14688
80; Rutgers University ; NJ ;14131;49428
81; Indiana University, Bloomington; IN ;10388;48514
82; Wake Forest University ; NC ;47682;7837
83; Johns Hopkins University   ; MD ;48710;22686
84; James Madison University   ; VA ;10018;21227
85; Yeshiva University ; NY ;39530;6194
86; Virginia Tech  ; VA ;12485;32663
87; Northwestern University; IL ;49047;21655
88; Louisiana State University ; LA ;9714;31524
89; California State University, Chico ; CA ;7022;1722
90; University of Minnesota, Twin Cities   ; MN ;13790;50678
91; Arizona State University, Tempe; AZ ;10158;51984
92; CUNY, Hunter College   ; NY ;6782;22918
93; The City College of New York   ; NY ;6689;15778
94; University of Richmond ; VA ;48090;4181
95; New College of Florida ; FL ;6916;861
96; New Jersey Institute of Technology ; NJ ;16108;11325
97; University of Notre Dame   ; IN ;47929;12292
98; George Mason University; VA ;10952;33929
99; University of Colorado, Boulder; CO ;11091;33056
100;    Clemson University ; SC ;14272;22698
101;    California State University, Stanislaus; CA ;6704;9282
102;    Boston College ; MA ;49324;14354
103;    University at Buffalo (SUNY)   ; NY ;9381;29796
104;    California State University, Fresno; CA ;6311;24136
105;    Franklin and Marshall College  ; PA ;50400;2249
105;    Ohio State University  ; OH ;10037;58663
107;    Brigham Young University-Idaho ; ID ;3830;43803
108;    University of Arizona  ; AZ ;11403;42595
109;    University of Southern California  ; CA ;50277;43401
110;    Missouri University of Science and Technology  ; MO ;9048;8886
111;    CUNY, College of Staten Island ; NY ;6890;13701
112;    Kenyon College ; OH ;49140;1711
113;    University of Iowa ; IA ;8104;30844
114;    California State University, Northridge; CA ;6569;41548
115;    Washington State University; WA ;11967;29686
116;    University of Oklahoma, Norman ; OK ;10090;27428
117;    California State University, Sacramento; CA ;6872;30284
118;    University of Maryland, Baltimore County   ; MD ;11006;13839
119;    Lafayette College  ; PA ;47760;2533
120;    Miami University (OH)  ; OH ;14287;19076
121;    California State University, East Bay  ; CA ;6564;15528
122;    Babson College ; MA ;46784;3057
123;    College of the Ozarks  ; MO ;18730;1441
